Matricula,Latitud,Longitud,Distance,Pos_date
E0047EE446AB648BEA8D01836B0FBDBA466C8C19A4EFA5788990BB1D505D5919,41.12162667,1.192766667,0.008700368467,1701388800000
5E8EDF55BA6EF0E4F0D8E0EF7C9407FED69E720B6E274B80EF7A80193A73B1B4,43.44529,-4.9192883,5.030989422,1701388800000
07F0F06AFDDE789E75C987F1E8AF8E5F48E72512AD4FC4FBD22D89D19D0618BC,41.16578333,-8.620283333,0.003445612583,1701388805000
C45D1B997E2C771440AD44B4EC93794F1E6FE175EE49F8D49415BD1213ED4507,41.3852033,2.1408549,0.08792630756,1701388806000
23ED941E3ED5B0591B9F22826E331B2FCB3F1C8D49F661280801A3C964C2FBAE,39.4684133,-6.3953683,0.04768024958,1701388806000
F4AE0241D1A98FCCB07393881F2EB5F012112A9453EE549C474D6C427E650864,38.3613183,-1.2732566,0.008551746132,1701388807000
96CCDDEBC559BA6C00439D619E2F188E69090FD1EE9491C275FE8A3B84B1DCC3,40.1930033,-3.8512033,0.9676390721,1701388809000
71ACD724923C85A66ED63A81EE357EF0FAEBE006A29631DDB46267FFC48FBF31,43.4538516,-3.8281116,0,1701388804761
AB84F8F8ACB033E9E444548A8C4769951BD2D1134E3238514C6CF3D922494379,-34.0122809,-69.9036717,0.001665895641,1701388810000
8BF12194622A41A0C1789A99634AA8F81B08BBF7C271BE92A62999EC14F0BB4B,40.3996333,-5.738105,1.257368123,1701388805000
403307A6CB01BD90A5E0898A206B9F205C0605AC2A5B93643E3430A24140A3AD,43.42284,-5.8345,0,1701388808402
892C6432846C97CB4EEB83A9979FCD72FD379EBD870EF8197E7D3198ED7FB843,42.530185,3.08867,0.1524798726,1701388815000
AAAEFD88472AFE7F8B9A417CD689BB28B3BF408EB543D9CFC30E3323980F1746,42.0027216,-8.5580783,0.3749273452,1701388815000
96CCDDEBC559BA6C00439D619E2F188E69090FD1EE9491C275FE8A3B84B1DCC3,38.19275,-5.8509916,0.03341626904,1701388819000
C45D1B997E2C771440AD44B4EC93794F1E6FE175EE49F8D49415BD1213ED4507,41.3849933,2.1412199,0.03837368404,1701388818000
8BF12194622A41A0C1789A99634AA8F81B08BBF7C271BE92A62999EC14F0BB4B,40.3991933,-5.7387183,0.07135058738,1701388811000
23ED941E3ED5B0591B9F22826E331B2FCB3F1C8D49F661280801A3C964C2FBAE,39.4684533,-6.3952599,0.01031342044,1701388819000
5A0441657EC05DA320F373A5EF00D80490BB14853283225899B26A41E11FB993,43.3530883,-8.435665,0.1774001229,1701388820000
F28866C0CF5333C77C245F93F8BE91DB1615539BF1188E087D18FB6EC9040A51,28.8591066,-14.3964616,0.01266054764,1701388811000
81486AACFBE20A1A64655FD2B79DD456B68E4AB7452D1E1295D6FEDCD52DD526,27.8590783,-15.3964833,0.01839205966,1701388800000
81486AACFBE20A1A64655FD2B79DD456B68E4AB7452D1E1295D6FEDCD52DD526,27.8590783,-15.3964833,0,1701388800010
81486AACFBE20A1A64655FD2B79DD456B68E4AB7452D1E1295D6FEDCD52DD526,27.8591033,-15.3964466,0.004554619224,1701388810000
EFBFEA45FDDA61154A0E59ABA3E3934E7C85941EEFAEFB7062482EFF192DCC74,27.8827433,-15.5229916,0.13400001,1701388810000
EFBFEA45FDDA61154A0E59ABA3E3934E7C85941EEFAEFB7062482EFF192DCC74,27.88305,-15.5230533,0.03463850248,1701388813000
9EA75D576149F526833F7F0CAFBFBD2DC701213D1D0C584D073D35F341947388,41.5527298,-2.6705599,0.01716839987,1701388830000
81486AACFBE20A1A64655FD2B79DD456B68E4AB7452D1E1295D6FEDCD52DD526,27.8590333,-15.3963199,0.01468762709,1701388825000
81486AACFBE20A1A64655FD2B79DD456B68E4AB7452D1E1295D6FEDCD52DD526,27.8589799,-15.3963533,0.006785195118,1701388826000
CFC8E23AB50D375541014448310312DEB58C3A69A2292705B9FB8E2A5A1B60AB,44.3067633,-2.0097166,0.01832423304,1701388829000
FF3C59B448620745BF18F32F614A1E7B43B32C7A89545EC541A90558D199D111,39.9263175,-2.688404,0.9757235766,1701388834000
39A7C03D597FA1866B013468871534F511F50FC1679C2A121B1A0A2E965C4635,44.7363066,-5.04647,1.722026928,1701388831000
508F5591B74AE64243D2DCF64C584E049B90F347F02FFCBC647164BB8D2FE9F7,18.3613407,-71.6022584,1.265520112,1701388801000
5A0441657EC05DA320F373A5EF00D80490BB14853283225899B26A41E11FB993,42.3527699,-9.434245,0.1201479024,1701388840000
9EA75D576149F526833F7F0CAFBFBD2DC701213D1D0C584D073D35F341947388,38.5527327,-5.6705465,0.001177153376,1701388845000
9EA75D576149F526833F7F0CAFBFBD2DC701213D1D0C584D073D35F341947388,39.5527396,-4.670533,0.001374617604,1701388847000
F7A42C671224FB482AA1F752A7D2E24FBA1044196DF57F8D75B8E03E87517A35,44.352355,-7.407915,0.7932674245,1701388844000
F4AE0241D1A98FCCB07393881F2EB5F012112A9453EE549C474D6C427E650864,39.3597666,-0.2725833,0.1825147945,1701388843000
82FDF5C4ADC6E39A518110E31495EFB4F9C1F561693EA662EF8FAD8D63999384,41.0942216,-1.3031383,0.9789696181,1701388839000
96CCDDEBC559BA6C00439D619E2F188E69090FD1EE9491C275FE8A3B84B1DCC3,41.1906816,-2.8509933,0.2299959493,1701388850000
CFC8E23AB50D375541014448310312DEB58C3A69A2292705B9FB8E2A5A1B60AB,42.3066466,-4.0093616,0.0315201693,1701388850000
81486AACFBE20A1A64655FD2B79DD456B68E4AB7452D1E1295D6FEDCD52DD526,27.857825,-15.3966583,0.1318731575,1701388851000
E8D5D7745EE18927FC55BAD5FD79EA2AE5C9C781209D76F070370B1DB612B47A,43.2732116,-5.8101466,0.01225757891,1701388855000
A14E8BE45CB9F9B1B8F8BFBED680BCFE79912B7C935C4B9D80F36FCAEC9F3A48,38.67283,-4.062655,0.01578736055,1701388855000
E0047EE446AB648BEA8D01836B0FBDBA466C8C19A4EFA5788990BB1D505D5919,42.12162333,2.192783333,0.001444447242,1701388860000
96CCDDEBC559BA6C00439D619E2F188E69090FD1EE9491C275FE8A3B84B1DCC3,41.1906799,-2.85186,0.07361950299,1701388861000
4CD3FCAC24AA17EB8A4985E4F997FD3730871E563B5536B369A38FB9F5E20CDB,-33.952999,-69.074964,0.1666372505,1701388815000
F7A42C671224FB482AA1F752A7D2E24FBA1044196DF57F8D75B8E03E87517A35,43.35297,-8.4084049,0.07902854344,1701388862000
07F0F06AFDDE789E75C987F1E8AF8E5F48E72512AD4FC4FBD22D89D19D0618BC,41.16588,-8.620233333,0.01153497834,1701388865000
5A0441657EC05DA320F373A5EF00D80490BB14853283225899B26A41E11FB993,44.352105,-7.4357583,0.1429601298,1701388863000
